Red peppers;"nr"
Aubergines;"nr"
Olive oil;"tbsp"
Lasagne sheets;"g"
Milk;"ml"
Mozzarella;"g" 
Cherry tomato;"nr"
Onion;"nr"
Garlic;"nr"
Carrot;"g"
Tomato purée;"tbsp"
White wine;"ml"
Basil;""
Butter;"g"
Flour;"g"
Soft Cheese;"g"
Sugar;"g"
Salted Butter;"g"
Walnuts;"g"
Raisins;"g"
Fresh nutmeg;"nr"
Ground cinnamon;"tsp"
Muscado sugar;"g"
Orange zest;"nr"
Vanilla extract;"tsp"
Eggs;"nr"
Natural yoghurt;"g"
Vegetable oil;"ml"
Potatoes;"kg"
Minced beef;"g"
Beef cubes;"nr"
Can baked beans;"g"
Worcestershire sauce;"tsp"
Parsley;"tsp"
Dark Chocolate;"g"
Brown soft sugar;"g"
Whipped cream;"tbsp"
Sweet potato;"nr"
Rapeseed oil;"tbsp"
Black bean can;"g"
Tomato salsa;"g"
Cheddar;"g"
Avocado;"nr"
Lime juice;"tbsp"
Coriander;"g"
Red onion;"nr"
Greek Yoghurt;"g" 
Chicken stock;"ml"
Sultanas;"tbsp"
Ground almonds;"g"
Boneless chicken breast;"nr"
Korma paste;"tbsp"
Ginger;"g"
Baking powder;"tsp"
Banana;"nr"
Maple syrup;"tbsp"
Pecan halves;"g"
Kalamata olives;"g"
tomtao chopped can;"G"
Zest and lemon juice;"nr"
Oregano;"tbsp"
Lamb leg;"kg"
Coconut oil;"tbsp"
Red Thai curry paste;"tbsp"
Peanut butter;"tbsp"
Coconut milk;"ml"
Spinach;"g"
Cooked rice;"g"
dry roasted peanuts;"tbsp"
Digestive biscuits;"g"
Sugar;"tbsp"
Golden caster;"tbsp"
Philadelphia cheese or other full-fat cheese;"g"
Golden caster sugar;"tbsp"
Lemon zest;"tsp"
Lemon juice;"tsp"
Yolk;"nr"
Carton soured cream;"ml"
Lemongrass stalk;"ml"
Vegetable oil;"tbsp"
Fish sauce;"tbsp"
Brown sugar;"tsp"
Coriander;"g"
Pumpkin seeds;"tbsp"
Seeded bread;"nr"
Double cream;"ml"
Vegetable stock or chicken stock;"ml"
Pumpkin;"kg"
Oil;"tbsp"
Braising steak;"g"
Hot chili powder;"tsp"
Turmeric;"tsp"
Cardamom pods;"nr"
Beef stock;"ml"
Garam masala;"tsp"
Naan bread;"nr"
Green salad;"nr"
Tagliatelle;"g"
Cooked streaky bacon;"g"
Chicken stock cube;"nr"
Parmesan;"g"
Mascarpone;"g"
Orange;"nr"
Wholegrain mustard;"tbsp"
Honey;"tsp"
White wine vinegar;"tbsp"
Rapeseed or olive oil;"tbsp"
Halloumi blocks;"g"
Bag watercress or baby spinach;"g"
